# TLB experiment
# page size = 64 bytes
# max pages = 16
# total number of references = 1 Mi
# pages	 proc	 sum
1	 0.002947	 1048576
2	 0.002482	 1048576
3	 0.002333	 1048575
4	 0.002312	 1048576
5	 0.002329	 1048575
6	 0.002336	 1048572
7	 0.002358	 1048572
8	 0.002288	 1048576
9	 0.002343	 1048572
10	 0.002305	 1048570
11	 0.002299	 1048575
12	 0.002325	 1048572
13	 0.002340	 1048567
14	 0.002288	 1048572
15	 0.002601	 1048575
16	 0.002538	 1048576
