# TLB experiment
# page size = 4096 bytes
# max pages = 16
# total number of references = 1 Mi
# pages	 proc	 sum
1	 0.000657	 1048576
2	 0.000577	 1048576
3	 0.000448	 1048575
4	 0.000385	 1048576
5	 0.000370	 1048575
6	 0.000361	 1048572
7	 0.000661	 1048572
8	 0.000681	 1048576
9	 0.000679	 1048572
10	 0.000648	 1048570
11	 0.000645	 1048575
12	 0.000643	 1048572
13	 0.000641	 1048567
14	 0.000746	 1048572
15	 0.000637	 1048575
16	 0.000637	 1048576
