# TLB experiment
# page size = 64 bytes
# max pages = 16
# total number of references = 1 Mi
# pages	 proc	 sum
1	 0.002435	 1048576
2	 0.002030	 1048576
3	 0.002040	 1048575
4	 0.001982	 1048576
5	 0.001899	 1048575
6	 0.002049	 1048572
7	 0.001971	 1048572
8	 0.001851	 1048576
9	 0.001850	 1048572
10	 0.001851	 1048570
11	 0.001883	 1048575
12	 0.001853	 1048572
13	 0.001869	 1048567
14	 0.001850	 1048572
15	 0.001851	 1048575
16	 0.001870	 1048576
